band = 1
0.000 0.000 0.000 0.000000000000
0.004 0.000 0.004 0.000000000019
0.008 0.000 0.008 0.000000000075
0.013 0.000 0.013 0.000000000170
0.017 0.000 0.017 0.000000000302
0.021 0.000 0.021 0.000000000472
0.025 0.000 0.025 0.000000000680
0.029 0.000 0.029 0.000000000927
0.034 0.000 0.034 0.000000001212
0.038 0.000 0.038 0.000000001537
0.042 0.000 0.042 0.000000001901
0.046 0.000 0.046 0.000000002305
0.050 0.000 0.050 0.000000002749
0.055 0.000 0.055 0.000000003235
0.059 0.000 0.059 0.000000003762
0.063 0.000 0.063 0.000000004331
0.067 0.000 0.067 0.000000004943
0.071 0.000 0.071 0.000000005599
0.076 0.000 0.076 0.000000006299
0.080 0.000 0.080 0.000000007045
0.084 0.000 0.084 0.000000007837
0.088 0.000 0.088 0.000000008676
0.092 0.000 0.092 0.000000009564
0.097 0.000 0.097 0.000000010501
0.101 0.000 0.101 0.000000011489
0.105 0.000 0.105 0.000000012528
0.109 0.000 0.109 0.000000013621
0.113 0.000 0.113 0.000000014768
0.118 0.000 0.118 0.000000015971
0.122 0.000 0.122 0.000000017232
0.126 0.000 0.126 0.000000018551
0.130 0.000 0.130 0.000000019932
0.134 0.000 0.134 0.000000021375
0.139 0.000 0.139 0.000000022882
0.143 0.000 0.143 0.000000024456
0.147 0.000 0.147 0.000000026099
0.151 0.000 0.151 0.000000027812
0.155 0.000 0.155 0.000000029597
0.160 0.000 0.160 0.000000031458
0.164 0.000 0.164 0.000000033397
0.168 0.000 0.168 0.000000035415
0.172 0.000 0.172 0.000000037517
0.176 0.000 0.176 0.000000039705
0.181 0.000 0.181 0.000000041982
0.185 0.000 0.185 0.000000044351
0.189 0.000 0.189 0.000000046814
0.193 0.000 0.193 0.000000049376
0.197 0.000 0.197 0.000000052039
0.202 0.000 0.202 0.000000054809
0.206 0.000 0.206 0.000000057688
0.210 0.000 0.210 0.000000060682
0.214 0.000 0.214 0.000000063793
0.218 0.000 0.218 0.000000067027
0.223 0.000 0.223 0.000000070389
0.227 0.000 0.227 0.000000073883
0.231 0.000 0.231 0.000000077514
0.235 0.000 0.235 0.000000081289
0.239 0.000 0.239 0.000000085212
0.244 0.000 0.244 0.000000089290
0.248 0.000 0.248 0.000000093532
0.252 0.000 0.252 0.000000097940
0.256 0.000 0.256 0.000000102521
0.261 0.000 0.261 0.000000107284
0.265 0.000 0.265 0.000000112239
0.269 0.000 0.269 0.000000117392
0.273 0.000 0.273 0.000000122752
0.277 0.000 0.277 0.000000128328
0.282 0.000 0.282 0.000000134130
0.286 0.000 0.286 0.000000140169
0.290 0.000 0.290 0.000000146455
0.294 0.000 0.294 0.000000152999
0.298 0.000 0.298 0.000000159814
0.303 0.000 0.303 0.000000166913
0.307 0.000 0.307 0.000000174310
0.311 0.000 0.311 0.000000182019
0.315 0.000 0.315 0.000000190055
0.319 0.000 0.319 0.000000198435
0.324 0.000 0.324 0.000000207183
0.328 0.000 0.328 0.000000216305
0.332 0.000 0.332 0.000000225830
0.336 0.000 0.336 0.000000235779
0.340 0.000 0.340 0.000000246174
0.345 0.000 0.345 0.000000257041
0.349 0.000 0.349 0.000000268407
0.353 0.000 0.353 0.000000280302
0.357 0.000 0.357 0.000000292761
0.361 0.000 0.361 0.000000305816
0.366 0.000 0.366 0.000000319502
0.370 0.000 0.370 0.000000333862
0.374 0.000 0.374 0.000000348941
0.378 0.000 0.378 0.000000364793
0.382 0.000 0.382 0.000000381467
0.387 0.000 0.387 0.000000399035
0.391 0.000 0.391 0.000000417547
0.395 0.000 0.395 0.000000437088
0.399 0.000 0.399 0.000000457740
0.403 0.000 0.403 0.000000479601
